fleet_size,mode,state,n,mean,standard_deviation,ci95_low,ci95_high
50,centralized,active,5,0.9628266666666667,0.003713585336219258,0.9582156414504258,0.9674376918829076
50,centralized,idle,5,0.03717333333333326,0.003713585336219258,0.032562308117092376,0.041784358549574144
50,centralized,navigating,5,0.17019111111111113,0.022271820206454657,0.1425369937862892,0.19784522843593305
50,centralized,working,5,0.7926355555555558,0.02121840919788498,0.7662894207553863,0.8189816903557252
50,distributed,active,5,0.9723555555555556,0.0029401855992479036,0.9687048329489324,0.9760062781621789
50,distributed,idle,5,0.027644444444444406,0.002940185599247904,0.023993721837821117,0.0312951670510677
50,distributed,navigating,5,0.2309022222222222,0.011798844890104365,0.21625202130178914,0.24555242314265527
50,distributed,working,5,0.7414533333333335,0.010254497357227355,0.7287206931451886,0.7541859735214784
100,centralized,active,5,0.9541711111111113,0.0024334550958880624,0.9511495775273016,0.957192644694921
100,centralized,idle,5,0.04582888888888879,0.0024334550958880624,0.042807355305079085,0.04885042247269849
100,centralized,navigating,5,0.23592000000000007,0.021224530706324272,0.20956626434318687,0.2622737356568133
100,centralized,working,5,0.7182511111111112,0.02087781710125796,0.6923278772553962,0.7441743449668261
100,distributed,active,5,0.9681711111111111,0.001864211348162275,0.965856386995055,0.9704858352271671
100,distributed,idle,5,0.03182888888888884,0.001864211348162275,0.029514164772832835,0.03414361300494484
100,distributed,navigating,5,0.28758666666666677,0.013599258785175528,0.270700956630858,0.3044723767024755
100,distributed,working,5,0.6805844444444444,0.012152555490030617,0.6654950538062999,0.695673835082589
200,centralized,active,5,0.9452611111111111,0.0036227355634882875,0.9407628907869152,0.949759331435307
200,centralized,idle,5,0.054738888888888934,0.0036227355634882875,0.05024066856469309,0.059237109213084775
200,centralized,navigating,5,0.34524222222222223,0.015441760158418574,0.3260687445646166,0.36441569987982786
200,centralized,working,5,0.6000188888888889,0.014453668315613802,0.5820722892994128,0.617965488478365
200,distributed,active,5,0.961521111111111,0.0011976210988022202,0.9600340681092391,0.963008154112983
200,distributed,idle,5,0.03847888888888902,0.0011976210988022202,0.036991845887017066,0.039965931890760975
200,distributed,navigating,5,0.3583855555555554,0.010543619420949635,0.3452939229098002,0.3714771882013106
200,distributed,working,5,0.6031355555555555,0.00988789055509967,0.5908581178351092,0.6154129932760019
300,centralized,active,5,0.9349237037037037,0.004313987045062377,0.9295671813011323,0.9402802261062752
300,centralized,idle,5,0.06507629629629634,0.004313987045062377,0.05971977389372494,0.07043281869886775
300,centralized,navigating,5,0.43253407407407407,0.006777309435346779,0.42411893294351727,0.4409492152046309
300,centralized,working,5,0.5023896296296296,0.009146175150862794,0.4910331532235374,0.5137461060357219
300,distributed,active,5,0.9559362962962963,0.0016389953930658662,0.9539012147235045,0.957971377869088
300,distributed,idle,5,0.044063703703703716,0.0016389953930658662,0.042028622130912,0.046098785276495434
300,distributed,navigating,5,0.41499555555555556,0.006046848083267164,0.4074874019879553,0.4225037091231558
300,distributed,working,5,0.5409407407407407,0.006511682021066738,0.5328554196074314,0.54902606187405
500,centralized,active,5,0.9042475555555555,0.004360880701627455,0.898832806987883,0.9096623041232279
500,centralized,idle,5,0.09575244444444449,0.004360880701627455,0.0903376958767721,0.10116719301211688
500,centralized,navigating,5,0.5772991111111111,0.010404343062774359,0.5643804129051031,0.5902178093171191
500,centralized,working,5,0.3269484444444445,0.010616339305377991,0.31376651813624107,0.3401303707526479
500,distributed,active,5,0.938816888888889,0.004495260219880931,0.9332352861113054,0.9443984916664727
500,distributed,idle,5,0.06118311111111112,0.004495260219880931,0.05560150833352742,0.06676471388869482
500,distributed,navigating,5,0.5356182222222221,0.003901127852111258,0.5307743322158656,0.5404621122285787
500,distributed,working,5,0.40319866666666665,0.004209026044931724,0.39797247055917295,0.40842486277416035
600,centralized,active,5,0.8953203703703702,0.0040733501040248294,0.890262638194123,0.9003781025466173
600,centralized,idle,5,0.1046796296296297,0.0040733501040248294,0.09962189745338251,0.1097373618058769
600,centralized,navigating,5,0.6026485185185184,0.007571814319240031,0.5932468692772344,0.6120501677598025
600,centralized,working,5,0.29267185185185185,0.005837784956313413,0.28542328444234194,0.29992041926136176
600,distributed,active,5,0.9331055555555556,0.004541249367320256,0.9274668497092884,0.9387442614018229
600,distributed,idle,5,0.06689444444444445,0.004541249367320256,0.061255738598177255,0.07253315029071164
600,distributed,navigating,5,0.5679792592592593,0.003336663562773165,0.5638362442392455,0.5721222742792731
600,distributed,working,5,0.3651262962962963,0.0044330800695009265,0.3596219003728423,0.37063069221975026
700,centralized,active,5,0.8874031746031745,0.005646830472172524,0.880391708501918,0.8944146407044311
700,centralized,idle,5,0.1125968253968254,0.0056468304721725236,0.10558535929556881,0.119608291498082
700,centralized,navigating,5,0.6359996825396825,0.01080296262659993,0.6225860327722926,0.6494133323070724
700,centralized,working,5,0.2514034920634921,0.005403160310913135,0.2446945824289078,0.2581124016980764
700,distributed,active,5,0.9278514285714285,0.0038404074855183387,0.9230829328582282,0.9326199242846289
700,distributed,idle,5,0.07214857142857134,0.003840407485518339,0.06738007571537097,0.07691706714177171
700,distributed,navigating,5,0.5843863492063492,0.004470393155639256,0.5788356229671755,0.589937075445523
700,distributed,working,5,0.3434650793650794,0.005461972917192859,0.336683144234637,0.3502470144955218
800,centralized,active,5,0.8793422222222222,0.0032496926196047215,0.8753071958912306,0.8833772485532139
800,centralized,idle,5,0.12065777777777775,0.0032496926196047215,0.11662275144678608,0.12469280410876943
800,centralized,navigating,5,0.6660586111111112,0.004339884026583869,0.6606699333589224,0.6714472888633
800,centralized,working,5,0.2132836111111111,0.0066384848058103785,0.20504084352511365,0.22152637869710856
800,distributed,active,5,0.9218777777777778,0.005943919288199491,0.9144974271893915,0.9292581283661641
800,distributed,idle,5,0.07812222222222223,0.005943919288199491,0.07074187163383597,0.0855025728106085
800,distributed,navigating,5,0.5985925000000001,0.008232267969290793,0.5883707892389657,0.6088142107610345
800,distributed,working,5,0.32328527777777777,0.004548572582534033,0.31763747895882855,0.328933076596727
